Model_Name,Runtime,BENIGN TP,BENIGN FP,BENIGN TN,BENIGN FN,Bot TP,Bot FP,Bot TN,Bot FN,DDoS TP,DDoS FP,DDoS TN,DDoS FN,DoS GoldenEye TP,DoS GoldenEye FP,DoS GoldenEye TN,DoS GoldenEye FN,DoS Hulk TP,DoS Hulk FP,DoS Hulk TN,DoS Hulk FN,DoS Slowhttptest TP,DoS Slowhttptest FP,DoS Slowhttptest TN,DoS Slowhttptest FN,DoS slowloris TP,DoS slowloris FP,DoS slowloris TN,DoS slowloris FN,FTP-Patator TP,FTP-Patator FP,FTP-Patator TN,FTP-Patator FN,Heartbleed TP,Heartbleed FP,Heartbleed TN,Heartbleed FN,Infiltration TP,Infiltration FP,Infiltration TN,Infiltration FN,PortScan TP,PortScan FP,PortScan TN,PortScan FN,SSH-Patator TP,SSH-Patator FP,SSH-Patator TN,SSH-Patator FN,Web Attack - Brute Force TP,Web Attack - Brute Force FP,Web Attack - Brute Force TN,Web Attack - Brute Force FN,Web Attack - Sql Injection TP,Web Attack - Sql Injection FP,Web Attack - Sql Injection TN,Web Attack - Sql Injection FN,Web Attack - XSS TP,Web Attack - XSS FP,Web Attack - XSS TN,Web Attack - XSS FN
210601_5_L_2_25e.h5,0.08589005470275879,0,7,993,0,0,0,0,1000,997,0,0,3,956,0,0,44,932,0,0,68,936,0,0,64,944,0,0,56,987,0,0,13,0,0,0,11,1,0,0,35,998,0,0,2,478,0,0,522,0,0,0,1000,1,0,0,20,2,0,0,650
210601_5_L_2_50e.h5,0.08397984504699707,0,2,998,0,0,0,0,1000,997,0,0,3,960,0,0,40,921,0,0,79,979,0,0,21,957,0,0,43,983,0,0,17,0,0,0,11,1,0,0,35,998,0,0,2,478,0,0,522,0,0,0,1000,2,0,0,19,2,0,0,650
210601_5_L_3_25e.h5,0.08263754844665527,0,6,994,0,319,0,0,681,997,0,0,3,966,0,0,34,930,0,0,70,992,0,0,8,988,0,0,12,982,0,0,18,0,0,0,11,1,0,0,35,998,0,0,2,477,0,0,523,49,0,0,951,2,0,0,19,2,0,0,650
210601_5_L_3_50e.h5,0.08263754844665527,0,8,992,0,354,0,0,646,998,0,0,2,973,0,0,27,930,0,0,70,994,0,0,6,988,0,0,12,982,0,0,18,0,0,0,11,0,0,0,36,998,0,0,2,482,0,0,518,48,0,0,952,2,0,0,19,2,0,0,650
210601_6_L_1_25e.h5,0.08208370208740234,0,16,984,0,323,0,0,677,998,0,0,2,987,0,0,13,977,0,0,23,993,0,0,7,986,0,0,14,986,0,0,14,0,0,0,11,1,0,0,35,998,0,0,2,480,0,0,520,49,0,0,951,3,0,0,18,5,0,0,647
210601_6_L_1_50e.h5,0.081787109375,0,13,987,0,345,0,0,655,998,0,0,2,976,0,0,24,977,0,0,23,989,0,0,11,984,0,0,16,987,0,0,13,0,0,0,11,1,0,0,35,998,0,0,2,484,0,0,516,89,0,0,911,2,0,0,19,2,0,0,650
210601_6_L_2_25e.h5,0.08989405632019043,0,9,991,0,0,0,0,1000,998,0,0,2,950,0,0,50,934,0,0,66,952,0,0,48,944,0,0,56,987,0,0,13,0,0,0,11,1,0,0,35,894,0,0,106,477,0,0,523,0,0,0,1000,2,0,0,19,2,0,0,650
210601_6_L_2_50e.h5,0.08432698249816895,0,10,990,0,0,0,0,1000,997,0,0,3,968,0,0,32,972,0,0,28,972,0,0,28,952,0,0,48,985,0,0,15,0,0,0,11,0,0,0,36,953,0,0,47,477,0,0,523,0,0,0,1000,2,0,0,19,2,0,0,650
210601_6_L_3_25e.h5,0.08217453956604004,0,5,995,0,356,0,0,644,996,0,0,4,956,0,0,44,928,0,0,72,988,0,0,12,987,0,0,13,986,0,0,14,0,0,0,11,0,0,0,36,998,0,0,2,477,0,0,523,48,0,0,952,2,0,0,19,2,0,0,650
210601_6_L_3_50e.h5,0.08237767219543457,0,8,992,0,352,0,0,648,998,0,0,2,990,0,0,10,975,0,0,25,996,0,0,4,986,0,0,14,986,0,0,14,0,0,0,11,0,0,0,36,998,0,0,2,483,0,0,517,89,0,0,911,2,0,0,19,2,0,0,650
210601_7_L_1_25e.h5,0.08327054977416992,0,7,993,0,217,0,0,783,997,0,0,3,948,0,0,52,906,0,0,94,992,0,0,8,985,0,0,15,984,0,0,16,0,0,0,11,0,0,0,36,998,0,0,2,476,0,0,524,64,0,0,936,1,0,0,20,16,0,0,636
210601_7_L_1_50e.h5,0.08277535438537598,0,18,982,0,345,0,0,655,998,0,0,2,983,0,0,17,933,0,0,67,994,0,0,6,986,0,0,14,987,0,0,13,0,0,0,11,0,0,0,36,998,0,0,2,483,0,0,517,74,0,0,926,2,0,0,19,17,0,0,635
210601_7_L_2_25e.h5,0.08510899543762207,0,7,993,0,0,0,0,1000,997,0,0,3,959,0,0,41,922,0,0,78,991,0,0,9,951,0,0,49,987,0,0,13,0,0,0,11,0,0,0,36,998,0,0,2,481,0,0,519,0,0,0,1000,1,0,0,20,2,0,0,650
210601_7_L_2_50e.h5,0.0849006175994873,0,9,991,0,0,0,0,1000,997,0,0,3,972,0,0,28,929,0,0,71,990,0,0,10,985,0,0,15,986,0,0,14,0,0,0,11,1,0,0,35,997,0,0,3,478,0,0,522,0,0,0,1000,2,0,0,19,2,0,0,650
210601_7_L_3_25e.h5,0.08204293251037598,0,12,988,0,339,0,0,661,997,0,0,3,969,0,0,31,975,0,0,25,982,0,0,18,986,0,0,14,987,0,0,13,0,0,0,11,1,0,0,35,998,0,0,2,479,0,0,521,60,0,0,940,2,0,0,19,3,0,0,649
210601_7_L_3_50e.h5,0.08279776573181152,0,7,993,0,352,0,0,648,999,0,0,1,973,0,0,27,905,0,0,95,979,0,0,21,987,0,0,13,987,0,0,13,0,0,0,11,0,0,0,36,998,0,0,2,478,0,0,522,83,0,0,917,1,0,0,20,1,0,0,651
